Team,Arena Name,Capacity,GP,Total,Avg.,% Capacity
Boston Bruins,"Fenway Park,TD Garden","18,066",29,"539,043","18,588",102.9
Vegas Golden Knights,T-Mobile Arena,"17,500",31,"557,529","17,985",102.8
Minnesota Wild,Xcel Energy Center,"17,954",31,"565,378","18,238",101.6
Carolina Hurricanes,"Carter-Finley Stadium,PNC Arena","19,613",28,"556,412","19,872",101.3
Nashville Predators,Bridgestone Arena,"17,113",28,"485,044","17,323",101.2
Washington Capitals,Capital One Arena,"18,506",30,"557,190","18,573",100.4
Seattle Kraken,Climate Pledge Arena,"17,100",29,"497,379","17,151",100.3
Colorado Avalanche,"Ball Arena,Nokia Arena","17,896",27,"483,894","17,922",100.1
Arizona Coyotes,Mullett Arena,"4,600",24,"110,400","4,600",100
Toronto Maple Leafs,Scotiabank Arena,"18,819",32,"599,147","18,723",99.5
Tampa Bay Lightning,Amalie Arena,"19,204",29,"553,668","19,092",99.4
Dallas Stars,American Airlines Center,"18,532",30,"551,352","18,378",99.2
New York Rangers,Madison Square Garden (IV),"18,006",30,"535,078","17,836",99.1
Montreal Canadiens,Bell Centre,"21,273",29,"610,920","21,066",99
Vancouver Canucks,Rogers Arena,"18,910",27,"503,771","18,658",98.7
St. Louis Blues,Enterprise Center,"18,400",29,"523,908","18,066",98.2
New York Islanders,UBS Arena,"17,113",31,"520,823","16,801",98.2
Pittsburgh Penguins,PPG Paints Arena,"18,387",28,"497,505","17,768",96.6
Edmonton Oilers,Rogers Place,"18,641",30,"529,648","17,655",94.7
Detroit Red Wings,Little Caesars Arena,"20,000",29,"547,045","18,864",94.3
Winnipeg Jets,Canada Life Centre,"15,004",28,"395,351","14,120",94.1
Calgary Flames,Scotiabank Saddledome,"19,289",28,"504,371","18,013",93.4
Los Angeles Kings,Crypto.com Arena,"18,118",28,"471,485","16,839",92.9
Columbus Blue Jackets,"Nationwide Arena,Nokia Arena","18,030",32,"523,654","16,364",90.8
New Jersey Devils,Prudential Center,"16,514",30,"443,391","14,780",89.5
Anaheim Ducks,Honda Center,"17,174",26,"397,293","15,281",89
Philadelphia Flyers,Wells Fargo Center,"19,537",28,"481,989","17,214",88.1
Ottawa Senators,Canadian Tire Centre,"18,652",30,"491,901","16,397",87.9
Florida Panthers,FLA Live Arena,"19,250",27,"442,098","16,374",85.1
Chicago Blackhawks,United Center,"20,500",31,"529,004","17,065",83.2
San Jose Sharks,SAP Center at San Jose,"17,562",27,"374,275","13,862",78.9
Buffalo Sabres,KeyBank Center,"19,070",28,"416,979","14,892",78.1
