position,Player,Score,Final Round,Thursday,Friday,Saturday,Sunday,Total,Strokes Gained
1,Jon Rahm,-27,-10,64,71,67,63,265,2.69
2,Collin Morikawa,-25,-1,64,66,65,72,267,2.19
T3,Tom Hoge,-23,-9,66,71,68,64,269,1.69
T3,Max Homa,-23,-7,70,70,63,66,269,1.69
T5,Tom Kim,-22,-5,65,69,68,68,270,1.44
T5,J.J. Spaun,-22,-4,64,68,69,69,270,1.44
T7,Tony Finau,-21,-7,67,69,69,66,271,1.19
T7,K.H. Lee,-21,-6,68,69,67,67,271,1.19
T7,Scottie Scheffler,-21,-3,66,66,69,70,271,1.19
T7,Matt Fitzpatrick,-21,-3,66,69,66,70,271,1.19
T11,Will Zalatoris,-20,-8,69,69,69,65,272,0.94
T11,Luke List,-20,-7,71,65,70,66,272,0.94
