team,champ
Gonzaga,27.5
Arizona,8.9
Kansas,6.6
Baylor,6.4
Kentucky,6.2
Auburn,5.6
Tennessee,5.1
Houston,5
Texas,4
UCLA,3.8
Villanova,3.6
Iowa,3.5
Duke,3.3
Purdue,1.9
Louisiana State,0.9
Texas,0.7
Saint Mary's (CA),0.7
Connecticut,0.7
Illinois,0.7
Arkansas,0.5
San Diego State,1.6
Loyola (IL),0.4
San Francisco,0.3
Wisconsin,0.3
Virginia Tech,0.3
Alabama,0.3
Colorado,0.2
Ohio State,0.2
Murray State,0.2
Boise State,0.2
Michigan,0.2
Southern California,0.2
North Carolina,0.1
Iowa State,0.1
Providence,0.1
Memphis,0.1
Davidson,0.1
Texas Christian,0.1
Michigan State,0.1
Seeton Hall,0.09
Creighton,0.06
Miami (FL),0.06
Alabama-Birmingham,0.06
Marquette,0.05
Vermont,0.05
Indiana,0.05
Notre Dame,0.04
South Dakota State,0.03
Chattanooga,0.02
Wyoming,0.02
Richmond,0.01
New Mexico State,0.01
Rutgers,0.01
Colgate,0.01
Jacksonville State,0.01
Montana State,0.01
Akron,0.01
Saint Peter's,0.01
Longwood,0.01
Delaware,0.01
Cal State Fullerton,0.01
Yale,0.01
Georgia State,0.01
Norfolk State,0.01
Texas Southern,0.01
Wright State,0.01
Bryant,0.01
Texas A&M-Corpus Christi,0.01
