team_name,team_region,team_seed,fivethirtyeight,kenpom,recspecs,vegas,espn
Gonzaga,West,1,0.267723452,,,,
Kansas,Midwest,1,0.101302316,,,,
Kentucky,East,2,0.082664534,,,,
Arizona,South,1,0.077933331,,,,
Auburn,Midwest,2,0.057582709,,,,
Villanova,South,2,0.046192596,,,,
Purdue,East,3,0.040978696,,,,
Iowa,Midwest,5,0.034048916,,,,
Tennessee,South,3,0.031816527,,,,
UCLA,East,4,0.031663826,,,,
Houston,South,5,0.030228265,,,,
Duke,West,2,0.02988346,,,,
Texas Tech,West,3,0.028202047,,,,
Baylor,East,1,0.025917918,,,,
Illinois,South,4,0.016053662,,,,
Louisiana State,Midwest,6,0.011721774,,,,
Arkansas,West,4,0.009933858,,,,
Wisconsin,Midwest,3,0.008452994,,,,
Texas,East,6,0.007958153,,,,
Connecticut,West,5,0.006799793,,,,
Alabama,West,6,0.00537795,,,,
Michigan,South,11,0.00499383,,,,
Virginia Tech,East,11,0.004441833,,,,
North Carolina,East,8,0.003592143,,,,
Ohio State,South,7,0.003576462,,,,
Memphis,West,9,0.003555863,,,,
Saint Mary's (CA),East,5,0.00249505,,,,
Loyola (IL),South,10,0.002490523,,,,
Providence,Midwest,4,0.001925975,,,,
Indiana,East,12b,0.001775377,,,,
Michigan State,West,7,0.00173488,,,,
San Diego State,Midwest,8,0.001708056,,,,
Southern California,Midwest,7,0.001599331,,,,
Texas Christian,South,9,0.001413154,,,,
Seton Hall,South,8,0.001126984,,,,
Marquette,East,9,0.001033409,,,,
Boise State,West,8,0.00098573,,,,
Creighton,Midwest,9,0.000980248,,,,
Murray State,East,7,0.000935895,,,,
Davidson,West,10,0.000898937,,,,
Alabama-Birmingham,South,12,0.000848862,,,,
San Francisco,East,10,0.000819745,,,,
Miami (FL),Midwest,10,0.000797056,,,,
Iowa State,Midwest,11,0.000795767,,,,
Colorado State,South,6,0.000738776,,,,
Notre Dame,West,11b,0.000661385,,,,
Rutgers,West,11a,0.000363152,,,,
Richmond,Midwest,12,0.000344631,,,,
South Dakota State,Midwest,13,0.000336694,,,,
Vermont,West,13,0.000222631,,,,
Chattanooga,South,13,0.000170747,,,,
Wyoming,East,12a,7.17E-05,,,,
New Mexico State,West,12,3.93E-05,,,,
Colgate,Midwest,14,3.52E-05,,,,
Akron,East,13,2.55E-05,,,,
Saint Peter's,East,15,4.97E-06,,,,
Yale,East,14,4.77E-06,,,,
Montana State,West,14,4.65E-06,,,,
Jacksonville State,Midwest,15,4.62E-06,,,,
Wright State,South,16a,2.42E-06,,,,
Longwood,South,14,2.30E-06,,,,
Delaware,South,15,2.10E-06,,,,
Georgia State,West,16,9.60E-07,,,,
Norfolk State,East,16,5.35E-07,,,,
Texas Southern,Midwest,16a,4.58E-07,,,,
Cal State Fullerton,West,15,3.23E-07,,,,
Bryant,South,16b,2.80E-07,,,,
Texas A&M-Corpus Christi,Midwest,16b,2.43E-08,,,,
