Team,Region,Seed,Rating,1st Round,2nd Round,Sweet 16,Elite 8,Final 4,NCG,Champion
Gonzaga,West,1,25.8,100.00%,98.30%,87.10%,74.00%,58.10%,43.00%,30.20%
Arizona,South,1,22.2,100.00%,98.00%,81.80%,51.20%,33.60%,21.50%,11.20%
Kansas,Midwest,1,20.5,100.00%,97.60%,76.10%,49.40%,31.00%,15.80%,7.00%
Auburn,Midwest,2,19.3,100.00%,95.30%,76.00%,53.70%,28.10%,13.10%,5.20%
Kentucky,East,2,21,100.00%,95.40%,73.50%,49.70%,28.80%,13.00%,7.30%
Baylor,East,1,20.4,100.00%,96.70%,75.80%,47.20%,27.00%,11.50%,5.80%
Tennessee,South,3,19.9,100.00%,95.40%,73.40%,45.20%,20.90%,11.60%,5.20%
Texas Tech,West,3,19.1,100.00%,94.40%,69.00%,42.30%,15.50%,7.70%,3.70%
Iowa,Midwest,5,18.9,100.00%,86.60%,69.40%,34.90%,20.50%,9.60%,3.70%
UCLA,East,4,19.1,100.00%,94.30%,67.30%,34.80%,17.80%,7.10%,3.20%
Duke,West,2,18,100.00%,94.20%,70.00%,37.00%,12.60%,5.50%,2.40%
Villanova,South,2,18.6,100.00%,94.60%,65.90%,34.50%,14.10%,7.00%,2.80%
Houston,South,5,21.2,100.00%,84.20%,60.90%,31.70%,19.70%,11.80%,5.70%
Purdue,East,3,17.8,100.00%,94.20%,57.50%,25.70%,12.10%,4.20%,1.70%
LSU,Midwest,6,16.1,100.00%,69.50%,48.10%,21.30%,9.00%,3.10%,0.80%
UConn,West,5,15.8,100.00%,80.80%,46.60%,10.30%,4.20%,1.60%,0.60%
Wisconsin,Midwest,3,12.4,100.00%,84.60%,34.90%,11.50%,3.30%,0.70%,0.10%
Illinois,South,4,16.4,100.00%,82.30%,31.10%,10.90%,4.90%,2.10%,0.70%
Arkansas,West,4,15.6,100.00%,74.60%,40.30%,8.80%,3.80%,1.20%,0.30%
Texas,East,6,15.8,100.00%,59.70%,26.50%,9.90%,4.10%,1.10%,0.40%
Alabama,West,6,13.8,100.00%,65.00%,22.30%,9.60%,2.00%,0.50%,0.10%
Saint Mary's (CA),East,5,14.6,100.00%,62.90%,22.40%,8.30%,3.00%,1.00%,0.30%
San Francisco,East,10,14.4,100.00%,60.70%,17.60%,7.10%,2.30%,0.60%,0.20%
Providence,Midwest,4,11.2,100.00%,62.40%,18.10%,4.50%,1.30%,0.30%,0.00%
San Diego St.,Midwest,8,13.5,100.00%,60.60%,15.90%,6.40%,2.40%,0.50%,0.10%
Michigan St.,West,7,12.1,100.00%,56.50%,17.60%,5.50%,0.90%,0.30%,0.10%
Loyola Chicago,South,10,14,100.00%,53.00%,18.60%,6.80%,1.70%,0.70%,0.20%
Southern California,Midwest,7,11.5,100.00%,57.00%,14.10%,6.00%,1.70%,0.40%,0.00%
Michigan,South,11,13,100.00%,55.50%,15.20%,5.50%,1.40%,0.40%,0.10%
North Carolina,East,8,12.3,100.00%,51.90%,12.90%,4.10%,1.20%,0.20%,0.10%
Ohio St.,7,13.1,100.00%,47.00%,14.90%,4.90%,1.20%,0.30%,0.10%,0.10%
Memphis,West,9,13.5,100.00%,54.90%,7.40%,3.50%,1.30%,0.40%,0.10%
Seton Hall,South,8,12.3,100.00%,51.50%,9.10%,2.60%,0.90%,0.20%,0.00%
Marquette,East,9,11.8,100.00%,48.10%,10.90%,3.10%,0.90%,0.10%,0.00%
Virginia Tech,East,11,13.5,100.00%,40.40%,15.50%,4.80%,1.50%,0.30%,0.10%
TCU,South,9,12.1,100.00%,48.50%,8.90%,2.30%,0.70%,0.20%,0.00%
Colorado St.,South,6,11.6,100.00%,44.50%,10.70%,3.00%,0.70%,0.20%,0.10%
Davidson,West,10,10.4,100.00%,43.50%,11.50%,3.40%,0.40%,0.10%,0.00%
Miami (FL),Midwest,10,9.9,100.00%,43.00%,9.00%,3.10%,0.70%,0.10%,0.00%
Boise St.,West,8,12.3,100.00%,45.10%,5.20%,2.10%,0.60%,0.20%,0.00%
Iowa St.,Midwest,11,10.9,100.00%,30.50%,15.20%,4.20%,1.10%,0.20%,0.10%
Murray St.,East,7,11.5,100.00%,39.30%,8.20%,2.60%,0.60%,0.20%,0.00%
Creighton,Midwest,9,10.9,100.00%,39.40%,7.80%,2.60%,0.80%,0.10%,0.00%
South Dakota St.,Midwest,13,7.8,100.00%,37.60%,7.20%,1.20%,0.20%,0.00%,0.00%
Vermont,West,13,9.1,100.00%,25.40%,7.80%,0.90%,0.20%,0.00%,0.00%
New Mexico St.,West,12,7.3,100.00%,19.20%,5.30%,0.40%,0.10%,0.00%,0.00%
UAB,South,12,10.8,100.00%,15.80%,5.60%,0.90%,0.20%,0.10%,0.00%
Chattanooga,South,13,7,100.00%,17.70%,2.40%,0.30%,0.00%,0.00%,0.00%
Richmond,Midwest,12,7.3,100.00%,13.40%,5.30%,0.90%,0.10%,0.00%,0.00%
Colgate,Midwest,14,2.2,100.00%,15.40%,1.80%,0.20%,0.00%,0.00%,0.00%
Cal St. Fullerton,West,15,0.9,100.00%,5.90%,0.80%,0.10%,0.00%,0.00%,0.00%
Montana St.,West,14,1.6,100.00%,5.60%,0.90%,0.10%,0.00%,0.00%,0.00%
Akron,East,13,1.6,100.00%,5.70%,0.70%,0.10%,0.00%,0.00%,0.00%
Yale,East,14,0.8,100.00%,5.80%,0.60%,0.00%,0.00%,0.00%,0.00%
Delaware,South,15,0.9,100.00%,5.40%,0.60%,0.00%,0.00%,0.00%,0.00%
Jacksonville St.,Midwest,15,0.7,100.00%,4.70%,0.80%,0.10%,0.00%,0.00%,0.00%
Saint Peter's,East,15,2.5,100.00%,4.60%,0.60%,0.10%,0.00%,0.00%,0.00%
Longwood,South,14,1.2,100.00%,4.60%,0.60%,0.00%,0.00%,0.00%,0.00%
Norfolk St.,East,16,_0.9,100.00%,3.30%,0.30%,0.00%,0.00%,0.00%,0.00%
Georgia St.,West,16,0.5,100.00%,1.70%,0.20%,0.00%,0.00%,0.00%,0.00%
Indiana,East,12,12.4,61.90%,25.60%,7.20%,2.10%,0.60%,0.20%,0.10%
Notre Dame,West,11,10.7,57.90%,21.70%,5.20%,1.50%,0.30%,0.00%,0.00%
Texas Southern,Midwest,16,_1.3,65.10%,1.90%,0.20%,0.00%,0.00%,0.00%,0.00%
Rutgers,West,11,9.1,42.10%,13.20%,2.60%,0.50%,0.10%,0.00%,0.00%
Wright St.,South,16,_1.0,54.40%,1.10%,0.20%,0.00%,0.00%,0.00%,0.00%
Wyoming,East,12,9.5,38.10%,11.50%,2.40%,0.40%,0.10%,0.00%,0.00%
Bryant,South,16,_2.3,45.60%,0.90%,0.10%,0.00%,0.00%,0.00%,0.00%
A&M-Corpus Christi,Midwest,16,_5.2,34.90%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%
