team_name,team_region,team_seed
Houston,Midwest,1
Alabama,South,1
Texas,Midwest,2
Purdue,East,1
Kansas,West,1
Gonzaga,West,3
Arizona,South,2
UCLA,West,2
UConn,West,4
Marquette,East,2
Baylor,South,3
Creighton,South,6
Duke,East,5
Tennessee,East,4
Kentucky,East,6
Texas A&M,Midwest,7
Indiana,Midwest,4
TCU,West,6
San Diego St.,South,5
Iowa St.,Midwest,6
Xavier,Midwest,3
Auburn,Midwest,9
Kansas St.,East,3
Saint Mary's (CA),West,5
Arkansas,West,8
Virginia,South,4
Michigan St.,East,7
Memphis,East,8
Iowa,Midwest,8
Illinois,West,9
Maryland,South,8
West Virginia,South,9
Miami (FL),Midwest,5
Utah St.,South,10
Providence,East,11
Boise St.,West,10
Mississippi St.,Midwest,11a
Penn St.,Midwest,10
Fla. Atlantic,East,9
Southern California,East,10
Drake,Midwest,12
Northwestern,West,7
Missouri,South,7
NC State,South,11
VCU,West,12
Arizona St.,West,11a
Col. of Charleston,South,12
Pittsburgh,Midwest,11b
Kent St.,Midwest,13
Nevada,West,11b
Oral Roberts,East,12
Furman,South,13
Iona,West,13
Louisiana,East,13
Vermont,East,15
Grand Canyon,West,14
Colgate,Midwest,15
Montana St.,East,14
UC Santa Barbara,South,14
Princeton,South,15
Kennesaw St.,Midwest,14
Northern Ky.,Midwest,16
UNC Asheville,West,15
A&M-Corpus Christi,South,16a
Southeast Mo. St.,South,16b
Howard,West,16
Texas Southern,East,16a
Fairleigh Dickinson,East,16b
