Team,Region,Seed, Champ 
Duke,East,1, 0.254 
Florida,West,1, 0.204 
Auburn,South,1, 0.112 
Houston,Midwest,1, 0.085 
St. John's,West,2, 0.051 
Michigan St.,South,2, 0.045 
Tennessee,Midwest,2, 0.043 
Alabama,East,2, 0.038 
Kentucky,Midwest,3, 0.017 
Texas Tech,West,3, 0.011 
Wisconsin,East,3, 0.011 
Michigan,South,5, 0.011 
Iowa St.,South,3, 0.009 
Arizona,East,4, 0.007 
Maryland,West,4, 0.008 
Purdue,Midwest,4, 0.006 
Clemson,Midwest,5, 0.006 
Gonzaga,Midwest,8, 0.005 
Kansas,West,7, 0.005 
Texas A&M,South,4, 0.005 
BYU,East,6, 0.004 
Illinois,Midwest,6, 0.003 
Missouri,West,6,
Baylor,East,9,
UCLA,Midwest,7,
Louisville,South,8,
Marquette,South,7,
Saint Mary's,East,7,
Connecticut,West,8, 0.008 
Mississippi,South,6,
North Carolina,South,11,
Mississippi St.,East,8,
Creighton,South,9,
VCU,East,11,
Oregon,East,5,
Georgia,Midwest,9,
Texas,Midwest,11,
Xavier,Midwest,11,
Arkansas,West,10,
Oklahoma,West,9,
Colorado St.,West,12,
New Mexico,South,10,
Utah St.,Midwest,10,
UC San Diego,South,12,
Vanderbilt,East,10,
San Diego St.,South,11,
Memphis,West,5,
Drake,West,11,
McNeese,Midwest,12,
Liberty,East,12,
Yale,South,13,
High Point,Midwest,13,
Grand Canyon,West,13,
Lipscomb,South,14,
Troy,Midwest,14,
Akron,East,13,
UNC Wilmington,West,14,
Wofford,Midwest,15,
Bryant,South,15,
Robert Morris,East,15,
Montana,East,14,
Nebraska Omaha,West,15,
Norfolk St.,West,16,
SIUE,Midwest,16,
American,East,16,
Mount St. Mary's,East,16,
Alabama St.,South,16,
Saint Francis,South,16,
