Team,Region,Seed,Rtg,R64,R32,R16,R8,F4,F2,Champ
Duke,East,1,39.2,100.00%,99.52%,85.84%,70.48%,56.56%,38.00%, 0.26 
Houston,Midwest,1,38,100.00%,99.40%,78.20%,63.04%,46.80%,27.24%, 0.19 
Auburn,South,1,36.3,100.00%,99.36%,83.40%,69.24%,50.92%,33.36%, 0.17 
Florida,West,1,34.3,100.00%,98.84%,80.68%,59.96%,41.28%,24.48%, 0.11 
Tennessee,Midwest,2,31.4,100.00%,95.84%,73.00%,49.56%,21.36%,9.20%, 0.04 
Alabama,East,2,30.8,100.00%,96.96%,72.72%,46.12%,17.44%,7.56%, 0.03 
Texas Tech,West,3,29.9,100.00%,94.32%,65.60%,41.28%,20.48%,8.60%, 0.03 
Iowa St.,South,3,28.6,100.00%,91.28%,64.28%,38.32%,15.16%,6.60%, 0.02 
Gonzaga,Midwest,8,28.3,100.00%,71.08%,18.04%,11.20%,6.16%,2.20%, 0.01 
Arizona,East,4,28.1,100.00%,91.56%,68.24%,18.88%,9.16%,3.56%, 0.01 
Michigan St.,South,2,27.6,100.00%,95.04%,63.44%,33.88%,13.60%,6.24%, 0.02 
Maryland,West,4,27.4,100.00%,88.56%,68.68%,26.52%,13.72%,5.24%, 0.01 
Wisconsin,East,3,26.5,100.00%,95.04%,57.24%,26.12%,8.00%,2.80%, 0.01 
St. John's,West,2,26.4,100.00%,95.40%,56.68%,26.48%,9.48%,4.16%, 0.01 
Purdue,Midwest,4,25.7,100.00%,87.36%,49.28%,13.52%,6.40%,1.92%, 0.01 
Kentucky,Midwest,3,25.5,100.00%,90.28%,50.68%,20.72%,6.48%,1.96%, 0.00 
Kansas,West,7,25.4,100.00%,67.52%,32.96%,14.72%,4.60%,1.52%, 0.00 
Clemson,Midwest,5,24.8,100.00%,79.76%,43.08%,10.32%,4.68%,1.12%, 0.00 
Illinois,Midwest,6,24.8,100.00%,63.44%,33.76%,13.28%,3.60%,0.92%, 0.00 
BYU,East,6,24.7,100.00%,59.44%,27.28%,11.44%,2.68%,1.00%, 0.00 
Texas A&M,South,4,24.7,100.00%,81.36%,48.20%,12.56%,5.44%,2.00%, 0.00 
Missouri,West,6,24.6,100.00%,77.24%,30.12%,13.64%,5.40%,1.92%, 0.01 
Baylor,East,9,23.8,100.00%,57.64%,9.12%,4.24%,1.64%,0.36%, 0.00 
UCLA,Midwest,7,23.6,100.00%,67.08%,20.16%,10.32%,2.92%,0.68%, 0.00 
Louisville,South,8,23.4,100.00%,58.08%,10.36%,5.84%,2.68%,0.88%, 0.00 
Marquette,South,7,23.2,100.00%,66.04%,26.20%,11.52%,3.36%,1.12%, 0.00 
Saint Mary's,East,7,23.1,100.00%,66.32%,20.36%,9.36%,1.72%,0.56%, 0.00 
Connecticut,West,8,22.9,100.00%,61.72%,14.04%,6.32%,2.24%,0.72%, 0.00 
