Place Name,Team City,Team State,Team,Latitude,Longitude
"M&T Bank Stadium, MD, USA",Baltimore,MD,Ravens,39.278088,-76.623322
"NRG Stadium, TX, USA",Houston,TX,Texans,29.68486,-95.411667
"U.S. Bank Stadium, MN, USA",Minneapolis,MN,Vikings,44.973774,-93.258736
"Lincoln Financial Field, PA, USA",Philadelphia,PA,Eagles,39.900898,-75.168098
"Empower Field at Mile High, CO, USA",Denver,CO,Broncos,39.744129,-105.020828
"Bank of America Stadium, NC, USA",Charlotte,NC,Panthers,35.225845,-80.853607
"Caesars Superdome, LA, USA",New Orleans,LA,Saints,29.951439,-90.08197
"Highmark Stadium, NY, USA",Buffalo,NY,Bills,42.773773,-78.78746
"Arrowhead Stadium, MO, USA",Kansas City,MO,Chiefs,39.048786,-94.484566
"State Farm Stadium, AZ, USA",Phoenix,AZ,Cardinals,33.527283,-112.263275
"Allegiant Stadium, NV, USA",Las Vegas,NV,Raiders,36.090794,-115.183952
"Soldier Field, Chicago, IL, USA",Chicago,IL,Bears,41.862366,-87.617256
"Ford Field, Detroit, MI, USA",Detroit,MI,Lions,42.340115,-83.046341
"Hard Rock Stadium, FL, USA",Miami,FL,Dolphins,25.95796,-80.239311
"Mercedes-Benz Stadium, GA, USA",Atlanta,GA,Falcons,33.755489,-84.401993
"SoFi Stadium, CA, USA",Los Angeles,CA,Rams,33.953587,-118.33963
"SoFi Stadium, CA, USA",Los Angeles,CA,Chargers,33.953587,-118.33963
"FirstEnergy Stadium, Ohio, USA",Cleveland,OH,Browns,41.506035,-81.700058
"AT&T Stadium, TX, USA",Dallas,TX,Cowboys,32.747841,-97.093628
"Raymond James Stadium, FL, USA",Tampa,FL,Buccaneers,27.975958,-82.503693
"Paul Brown Stadium, Cincinnati, OH, USA",Cincinnati,OH,Bengals,39.096306,-84.516846
"TIAA Bank Field, FL, USA",Jacksonville,FL,Jaguars,30.323471,-81.636528
"Metlife Stadium, East Rutherford, New Jersey, USA",New York,NY,Giants,40.813778,-74.07431
"Metlife Stadium, East Rutherford, New Jersey, USA",New York,NY,Jets,40.813778,-74.07431
"Lucas Oil Stadium, IN, USA",Indianapolis,IN,Colts,39.759991,-86.163712
Levi's Stadium,San Francisco,CA,49ers,37.4032,-121.968
Nissan Stadium,Nashville,TN,Titans,36.166479,-86.77129
FedEx Field,Washington,DC,Commanders,38.9077,-76.8645
Lambeau Field,Green Bay,WI,Packers,44.5013,-88.0622
Gilette Stadium,Boston,MA,Patriots,42.095368,-71.261648
Lumen Field,Seattle,WA,Seahawks,47.5952,-122.3316
Acrisure Stadium,Pittsburgh,PA,Steelers,40.4468,-80.0158
