team,vegas_win_total,implied_win_perc
Arizona Cardinals,8.5,0.5
Atlanta Falcons,4.5,0.2647058823529412
Baltimore Ravens,10.5,0.6176470588235294
Buffalo Bills,11.5,0.6764705882352942
Carolina Panthers,6.5,0.38235294117647056
Chicago Bears,6.5,0.38235294117647056
Cincinnati Bengals,9.5,0.5588235294117647
Cleveland Browns,8.5,0.5
Dallas Cowboys,10.5,0.6176470588235294
Denver Broncos,10.5,0.6176470588235294
Detroit Lions,6.5,0.38235294117647056
Green Bay Packers,10.5,0.6176470588235294
Houston Texans,4.5,0.2647058823529412
Indianapolis Colts,9.5,0.5588235294117647
Jacksonville Jaguars,6.5,0.38235294117647056
Kansas City Chiefs,10.5,0.6176470588235294
Los Angeles Chargers,10.5,0.6176470588235294
Los Angeles Rams,10.5,0.6176470588235294
Las Vegas Raiders,8.5,0.5
Miami Dolphins,8.5,0.5
Minnesota Vikings,9.5,0.5588235294117647
New England Patriots,8.5,0.5
New Orleans Saints,8.5,0.5
New York Giants,7.5,0.4411764705882353
New York Jets,5.5,0.3235294117647059
Philadelphia Eagles,9.5,0.5588235294117647
Pittsburgh Steelers,7.5,0.4411764705882353
San Francisco 49ers,9.5,0.5588235294117647
Seattle Seahawks,5.5,0.3235294117647059
Tampa Bay Buccaneers,11.5,0.6764705882352942
Tennessee Titans,9.5,0.5588235294117647
Washington Commanders,7.5,0.4411764705882353
