Date,Visitor,Home
10/12/21,Pittsburgh Penguins,Tampa Bay Lightning
10/12/21,Seattle Kraken,Vegas Golden Knights
10/13/21,Winnipeg Jets,Anaheim Ducks
10/13/21,Chicago Blackhawks,Colorado Avalanche
10/13/21,Vancouver Canucks,Edmonton Oilers
10/13/21,Montreal Canadiens,Toronto Maple Leafs
10/13/21,New York Rangers,Washington Capitals
10/14/21,Montreal Canadiens,Buffalo Sabres
10/14/21,New York Islanders,Carolina Hurricanes
10/14/21,Arizona Coyotes,Columbus Blue Jackets
10/14/21,Tampa Bay Lightning,Detroit Red Wings
10/14/21,Pittsburgh Penguins,Florida Panthers
10/14/21,Vegas Golden Knights,Los Angeles Kings
10/14/21,Seattle Kraken,Nashville Predators
10/14/21,Dallas Stars,New York Rangers
10/14/21,Toronto Maple Leafs,Ottawa Senators
10/15/21,Minnesota Wild,Anaheim Ducks
10/15/21,Chicago Blackhawks,New Jersey Devils
10/15/21,Vancouver Canucks,Philadelphia Flyers
10/16/21,Dallas Stars,Boston Bruins
10/16/21,Arizona Coyotes,Buffalo Sabres
10/16/21,Seattle Kraken,Columbus Blue Jackets
10/16/21,St. Louis Blues,Colorado Avalanche
10/16/21,Vancouver Canucks,Detroit Red Wings
10/16/21,Calgary Flames,Edmonton Oilers
10/16/21,New York Islanders,Florida Panthers
10/16/21,Minnesota Wild,Los Angeles Kings
10/16/21,New York Rangers,Montreal Canadiens
10/16/21,Carolina Hurricanes,Nashville Predators
10/16/21,Chicago Blackhawks,Pittsburgh Penguins
10/16/21,Winnipeg Jets,San Jose Sharks
10/16/21,Ottawa Senators,Toronto Maple Leafs
10/16/21,Tampa Bay Lightning,Washington Capitals
10/17/21,Dallas Stars,Ottawa Senators
10/18/21,St. Louis Blues,Arizona Coyotes
10/18/21,Anaheim Ducks,Calgary Flames
10/18/21,Seattle Kraken,Philadelphia Flyers
10/18/21,New York Rangers,Toronto Maple Leafs
10/19/21,Vancouver Canucks,Buffalo Sabres
10/19/21,New York Islanders,Chicago Blackhawks
10/19/21,Columbus Blue Jackets,Detroit Red Wings
10/19/21,Anaheim Ducks,Edmonton Oilers
10/19/21,Winnipeg Jets,Minnesota Wild
10/19/21,San Jose Sharks,Montreal Canadiens
10/19/21,Seattle Kraken,New Jersey Devils
10/19/21,Los Angeles Kings,Nashville Predators
10/19/21,Dallas Stars,Pittsburgh Penguins
10/19/21,Florida Panthers,Tampa Bay Lightning
10/19/21,Colorado Avalanche,Washington Capitals
10/20/21,Boston Bruins,Philadelphia Flyers
10/20/21,St. Louis Blues,Vegas Golden Knights
10/21/21,Edmonton Oilers,Arizona Coyotes
10/21/21,New York Islanders,Columbus Blue Jackets
10/21/21,Vancouver Canucks,Chicago Blackhawks
10/21/21,Calgary Flames,Detroit Red Wings
10/21/21,Colorado Avalanche,Florida Panthers
10/21/21,Carolina Hurricanes,Montreal Canadiens
10/21/21,Washington Capitals,New Jersey Devils
10/21/21,New York Rangers,Nashville Predators
10/21/21,San Jose Sharks,Ottawa Senators
10/21/21,Anaheim Ducks,Winnipeg Jets
10/22/21,Boston Bruins,Buffalo Sabres
10/22/21,Los Angeles Kings,Dallas Stars
10/22/21,San Jose Sharks,Toronto Maple Leafs
10/22/21,Edmonton Oilers,Vegas Golden Knights
10/23/21,New York Islanders,Arizona Coyotes
10/23/21,Carolina Hurricanes,Columbus Blue Jackets
10/23/21,Anaheim Ducks,Minnesota Wild
10/23/21,Detroit Red Wings,Montreal Canadiens
10/23/21,Buffalo Sabres,New Jersey Devils
10/23/21,New York Rangers,Ottawa Senators
10/23/21,Florida Panthers,Philadelphia Flyers
10/23/21,Toronto Maple Leafs,Pittsburgh Penguins
10/23/21,Vancouver Canucks,Seattle Kraken
10/23/21,Los Angeles Kings,St. Louis Blues
