Team,televised_games
Anaheim Ducks,11
Arizona Coyotes,11
Boston Bruins,13
Buffalo Sabres,10
Calgary Flames,0
Carolina Hurricanes,8
Chicago Blackhawks,13
Colorado Avalanche,13
Columbus Blue Jackets,6
Dallas Stars,11
Detroit Red Wings,10
Edmonton Oilers,9
Florida Panthers,8
Los Angeles Kings,13
Minnesota Wild,13
Montreal Canadiens,4
Nashville Predators,11
New Jersey Devils,9
New York Islanders,12
New York Rangers,13
Ottawa Senators,0
Philadelphia Flyers,13
Pittsburgh Penguins,13
San Jose Sharks,8
Seattle Kraken,13
St. Louis Blues,13
Tampa Bay Lightning,13
Toronto Maple Leafs,6
Vancouver Canucks,4
Vegas Golden Knights,12
Washington Capitals,13
Winnipeg Jets,0
