Team,Win Total
Anaheim Ducks,71.5
Arizona Coyotes,68.5
Boston Bruins,102.5
Buffalo Sabres,69.5
Calgary Flames,92.5
Carolina Hurricanes,95.5
Chicago Blackhawks,90.5
Colorado Avalanche,111.5
Columbus Blue Jackets,76.5
Dallas Stars,94.5
Detroit Red Wings,78.5
Edmonton Oilers,98.5
Florida Panthers,101.5
Los Angeles Kings,84.5
Minnesota Wild,96.5
Montreal Canadiens,89.5
Nashville Predators,84.5
New Jersey Devils,89.5
New York Islanders,99.5
New York Rangers,96.5
Ottawa Senators,76.5
Philadelphia Flyers,92.5
Pittsburgh Penguins,96.5
San Jose Sharks,83.5
Seattle Kraken,94.5
St. Louis Blues,92.5
Tampa Bay Lightning,106.5
Toronto Maple Leafs,105.5
Vancouver Canucks,88.5
Vegas Golden Knights,106.5
Washington Capitals,95.5
Winnipeg Jets,92.5
