team,conf,vegas,x538,href
Anaheim Ducks,Western Conference,71.5,80,70.5
Arizona Coyotes,Western Conference,68.5,88,69.5
Boston Bruins,Eastern Conference,102.5,101,103.5
Buffalo Sabres,Eastern Conference,69.5,80,68.5
Calgary Flames,Western Conference,92.5,92,90.5
Carolina Hurricanes,Eastern Conference,95.5,100,95.5
Chicago Blackhawks,Western Conference,90.5,87,91.5
Colorado Avalanche,Western Conference,111.5,104,110.5
Columbus Blue Jackets,Eastern Conference,76.5,83,76.5
Dallas Stars,Western Conference,94.5,92,95.5
Detroit Red Wings,Eastern Conference,78.5,79,77.5
Edmonton Oilers,Western Conference,98.5,94,97.5
Florida Panthers,Eastern Conference,101.5,97,101.5
Los Angeles Kings,Western Conference,84.5,84,85.5
Minnesota Wild,Western Conference,96.5,96,97.5
Montreal Canadiens,Eastern Conference,89.5,92,89.5
Nashville Predators,Western Conference,84.5,93,84.5
New Jersey Devils,Eastern Conference,89.5,81,90.5
New York Islanders,Eastern Conference,99.5,80,63.5
New York Rangers,Eastern Conference,96.5,93,95.5
Ottawa Senators,Eastern Conference,76.5,84,72.5
Philadelphia Flyers,Eastern Conference,92.5,88,94.5
Pittsburgh Penguins,Eastern Conference,96.5,99,98.5
San Jose Sharks,Western Conference,83.5,83,83.5
Seattle Kraken,Western Conference,94.5,89,92.5
St. Louis Blues,Western Conference,92.5,92,94.5
Tampa Bay Lightning,Eastern Conference,106.5,105,108.5
Toronto Maple Leafs,Eastern Conference,105.5,97,106.5
Vancouver Canucks,Western Conference,88.5,87,88.5
Vegas Golden Knights,Western Conference,106.5,104,106.5
Washington Capitals,Eastern Conference,95.5,97,94.5
Winnipeg Jets,Western Conference,92.5,92,92.5
