Rank,Team,Division,Pts,Playoff %,Win Cup %
1,Carolina Hurricanes,Metropolitan,111,100.00%,12.40%
2,New York Rangers,Metropolitan,114,100.00%,11.10%
3,Florida Panthers,Atlantic,110,100.00%,10.90%
4,Dallas Stars,Central,113,100.00%,10.70%
5,Edmonton Oilers,Pacific,104.2,100.00%,8.20%
6,Colorado Avalanche,Central,106.8,100.00%,7.00%
7,Vancouver Canucks,Pacific,109.2,100.00%,6.60%
8,Winnipeg Jets,Central,109.8,100.00%,6.10%
9,Boston Bruins,Atlantic,109,100.00%,6.00%
10,Toronto Maple Leafs,Atlantic,102,100.00%,5.90%
11,Vegas Golden Knights,Pacific,98.3,100.00%,4.80%
12,Los Angeles Kings,Pacific,98.9,100.00%,3.20%
13,Tampa Bay Lightning,Atlantic,98,100.00%,3.10%
14,Nashville Predators,Central,99,100.00%,2.60%
15,New York Islanders,Metropolitan,94,100.00%,0.80%
16,Washington Capitals,Metropolitan,91,100.00%,0.70%
17,St. Louis Blues,Central,92,0.00%,0.00%
18,Detroit Red Wings,Atlantic,91,0.00%,0.00%
19,Minnesota Wild,Central,88,0.00%,0.00%
20,Pittsburgh Penguins,Metropolitan,88,0.00%,0.00%
21,Philadelphia Flyers,Metropolitan,87,0.00%,0.00%
22,Buffalo Sabres,Atlantic,84,0.00%,0.00%
23,New Jersey Devils,Metropolitan,81,0.00%,0.00%
24,Calgary Flames,Pacific,80.9,0.00%,0.00%
25,Seattle Kraken,Pacific,80.8,0.00%,0.00%
26,Ottawa Senators,Atlantic,78,0.00%,0.00%
27,Arizona Coyotes,Central,77,0.00%,0.00%
28,Montreal Canadiens,Atlantic,76,0.00%,0.00%
29,Columbus Blue Jackets,Metropolitan,66,0.00%,0.00%
30,Anaheim Ducks,Pacific,58.7,0.00%,0.00%
31,Chicago Blackhawks,Central,51.9,0.00%,0.00%
32,San Jose Sharks,Pacific,47.1,0.00%,0.00%
