team,vegas,x538,moneypuck,athletic
Anaheim Ducks,80.5,80,82.5,82.6
Arizona Coyotes,65.5,78,72.5,63.6
Boston Bruins,96.5,100,100.9,104
Buffalo Sabres,77.5,83,79.1,78
Calgary Flames,103.5,99,106.4,106.4
Carolina Hurricanes,103.5,102,103.9,103.3
Chicago Blackhawks,66.5,80,75.5,68.6
Colorado Avalanche,111.5,110,107.5,107.5
Columbus Blue Jackets,80.5,85,77.9,76.9
Dallas Stars,95.5,93,93.2,97.7
Detroit Red Wings,84.5,79,84,84
Edmonton Oilers,103.5,99,98.3,101
Florida Panthers,105.5,102,107,106.5
Los Angeles Kings,95.5,91,92.2,91.1
Minnesota Wild,101.5,100,102.1,105.6
Montreal Canadiens,72.5,78,74,74
Nashville Predators,96.5,94,102.9,97.7
New Jersey Devils,89.5,79,102.9,91.4
New York Islanders,91.5,93,91,89.3
New York Rangers,99.5,101,91.8,95.4
Ottawa Senators,86.5,85,84.4,88.8
Philadelphia Flyers,73.5,77,78.5,72.5
Pittsburgh Penguins,101.5,98,100.4,99
San Jose Sharks,75.5,77,74.2,74.7
Seattle Kraken,82.5,81,83.9,86.6
St. Louis Blues,95.5,101,92.4,92.9
Tampa Bay Lightning,103.5,105,101.2,103.8
Toronto Maple Leafs,108.5,102,106.7,111.5
Vancouver Canucks,92.5,93,88,90.7
Vegas Golden Knights,96.5,97,95.5,95.7
Washington Capitals,96.5,96,93.6,97.1
Winnipeg Jets,87.5,91,84.1,88.3
