rank,team_logo_espn,name,division,conference,games_played,wins,losses,ot_losses,goal_diff,points,nhl_pts_perc,olympic_points,olympic_pts_perc
1,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/col.png,Colorado Avalanche,Central,Western,55,37,9,9,74,83,.755,117,.709
2,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/tb.png,Tampa Bay Lightning,Atlantic,Eastern,55,37,14,4,59,78,.709,106,.642
3,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/car.png,Carolina Hurricanes,Metropolitan,Eastern,57,36,15,6,34,78,.684,104,.608
4,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/dal.png,Dallas Stars,Central,Western,57,34,14,9,33,77,.675,105,.614
5,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/min.png,Minnesota Wild,Central,Western,58,34,14,10,27,78,.672,99,.569
6,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/det.png,Detroit Red Wings,Atlantic,Eastern,58,33,19,6,-1,72,.621,95,.546
7,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/buf.png,Buffalo Sabres,Atlantic,Eastern,57,32,19,6,19,70,.614,96,.561
8,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/bos.png,Boston Bruins,Atlantic,Eastern,57,32,20,5,13,69,.605,93,.544
9,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/mtl.png,Montreal Canadiens,Atlantic,Eastern,57,32,17,8,12,72,.632,93,.544
10,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nyi.png,New York Islanders,Metropolitan,Eastern,58,32,21,5,7,69,.595,91,.523
11,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/uta.png,Utah Mammoth,Pacific,Western,57,30,23,4,26,64,.561,87,.509
12,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/ana.png,Anaheim Ducks,Pacific,Western,56,30,23,3,-10,63,.562,81,.482
13,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/pit.png,Pittsburgh Penguins,Metropolitan,Eastern,56,29,15,12,23,70,.625,95,.565
14,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/was.png,Washington Capitals,Metropolitan,Eastern,59,29,23,7,12,65,.551,89,.503
15,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/cbj.png,Columbus Blue Jackets,Metropolitan,Eastern,56,29,20,7,2,65,.580,85,.506
16,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/fla.png,Florida Panthers,Atlantic,Eastern,57,29,25,3,-17,61,.535,84,.491
17,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/ott.png,Ottawa Senators,Atlantic,Eastern,57,28,22,7,7,63,.553,85,.497
18,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/edm.png,Edmonton Oilers,Pacific,Western,58,28,22,8,4,64,.552,85,.489
19,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/njd.png,New Jersey Devils,Metropolitan,Eastern,57,28,27,2,-29,58,.509,76,.444
20,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/vgk.png,Vegas Golden Knights,Pacific,Western,57,27,16,14,12,68,.596,88,.515
21,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/sea.png,Seattle Kraken,Pacific,Western,56,27,20,9,-3,63,.562,84,.500
22,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/tor.png,Toronto Maple Leafs,Atlantic,Eastern,57,27,21,9,-6,63,.553,82,.480
23,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/sj.png,San Jose Sharks,Pacific,Western,55,27,24,4,-22,58,.527,74,.448
24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nsh.png,Nashville Predators,Central,Western,57,26,24,7,-29,59,.518,78,.456
25,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/phi.png,Philadelphia Flyers,Metropolitan,Eastern,56,25,20,11,-13,61,.545,79,.470
26,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/la.png,Los Angeles Kings,Pacific,Western,56,23,19,14,-15,60,.536,74,.440
27,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/cgy.png,Calgary Flames,Pacific,Western,56,23,27,6,-27,52,.464,71,.423
28,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/wpg.png,Winnipeg Jets,Central,Western,56,22,26,8,-15,52,.464,72,.429
29,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nyr.png,New York Rangers,Metropolitan,Eastern,57,22,29,6,-29,50,.439,64,.374
30,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/chi.png,Chicago Blackhawks,Central,Western,57,22,26,9,-31,53,.465,70,.409
31,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/stl.png,St. Louis Blues,Central,Western,57,20,28,9,-56,49,.430,68,.398
32,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/van.png,Vancouver Canucks,Pacific,Western,57,18,33,6,-61,42,.368,54,.316
