month,search_interest
2013-01,19
2013-02,14
2013-03,14
2013-04,10
2013-05,10
2013-06,9
2013-07,7
2013-08,12
2013-09,27
2013-10,19
2013-11,19
2013-12,16
2014-01,19
2014-02,12
2014-03,12
2014-04,11
2014-05,10
2014-06,11
2014-07,8
2014-08,11
2014-09,26
2014-10,24
2014-11,19
2014-12,15
2015-01,17
2015-02,11
2015-03,12
2015-04,11
2015-05,11
2015-06,9
2015-07,7
2015-08,9
2015-09,20
2015-10,20
2015-11,16
2015-12,13
2016-01,15
2016-02,12
2016-03,12
2016-04,10
2016-05,10
2016-06,9
2016-07,7
2016-08,10
2016-09,19
2016-10,19
2016-11,17
2016-12,18
2017-01,20
2017-02,18
2017-03,15
2017-04,13
2017-05,12
2017-06,12
2017-07,11
2017-08,18
2017-09,26
2017-10,19
2017-11,17
2017-12,17
2018-01,18
2018-02,13
2018-03,16
2018-04,14
2018-05,59
2018-06,32
2018-07,21
2018-08,27
2018-09,41
2018-10,28
2018-11,31
2018-12,31
2019-01,33
2019-02,24
2019-03,26
2019-04,25
2019-05,24
2019-06,24
2019-07,20
2019-08,27
2019-09,50
2019-10,43
2019-11,38
2019-12,38
2020-01,43
2020-02,33
2020-03,18
2020-04,11
2020-05,16
2020-06,18
2020-07,83
2020-08,30
2020-09,49
2020-10,46
2020-11,46
2020-12,43
2021-01,61
2021-02,52
2021-03,37
2021-04,41
2021-05,36
2021-06,37
2021-07,33
2021-08,65
2021-09,100
2021-10,72
2021-11,72
2021-12,64
2022-01,82
2022-02,63
2022-03,50
2022-04,45
2022-05,40
2022-06,33
2022-07,33
2022-08,49
2022-09,68
2022-10,61
2022-11,67
2022-12,58
2023-01,77
2023-02,59
2023-03,56
2023-04,47
2023-05,44
2023-06,35
2023-07,40
2023-08,51
2023-09,97
2023-10,68
2023-11,80
