Season,League,Champion,Metro,number_of_league_teams
2021,NHL,Tampa Bay Lightning,Tampa/St. Petersburg,31
2020,NHL,Tampa Bay Lightning,Tampa/St. Petersburg,31
2019,NHL,St. Louis Blues,St. Louis,31
2018,NHL,Washington Capitals,Washington D.C.,31
2017,NHL,Pittsburgh Penguins,Pittsburgh,30
2016,NHL,Pittsburgh Penguins,Pittsburgh,30
2015,NHL,Chicago Blackhawks,Chicago,30
2014,NHL,Los Angeles Kings,Los Angeles,30
2013,NHL,Chicago Blackhawks,Chicago,30
2012,NHL,Los Angeles Kings,Los Angeles,30
2011,NHL,Boston Bruins,Boston,30
2010,NHL,Chicago Blackhawks,Chicago,30
2009,NHL,Pittsburgh Penguins,Pittsburgh,30
2008,NHL,Detroit Red Wings,Detroit,30
2007,NHL,Anaheim Ducks,Anaheim,30
2006,NHL,Carolina Hurricanes,Research Triangle,30
2005,NHL,,,30
2004,NHL,Tampa Bay Lightning,Tampa/St. Petersburg,30
2003,NHL,New Jersey Devils,New Jersey,30
2002,NHL,Detroit Red Wings,Detroit,30
2001,NHL,Colorado Avalanche,Denver,30
2000,NHL,New Jersey Devils,New Jersey,30
1999,NHL,Dallas Stars,Dallas,30
1998,NHL,Detroit Red Wings,Detroit,30
1997,NHL,Detroit Red Wings,Detroit,30
1996,NHL,Colorado Avalanche,Denver,30
1995,NHL,New Jersey Devils,New Jersey,30
1994,NHL,New York Rangers,New York,30
1993,NHL,Montreal Canadiens,Montreal,30
1992,NHL,Pittsburgh Penguins,Pittsburgh,30
2021,NBA,Milwaukee Bucks,Milwaukee/Green Bay,30
2020,NBA,Los Angeles Lakers,Los Angeles,30
2019,NBA,Toronto Raptors,Toronto,30
2018,NBA,Golden State Warriors,San Francisco/Bay Area,30
2017,NBA,Golden State Warriors,San Francisco/Bay Area,30
2016,NBA,Cleveland Cavaliers,Cleveland,30
2015,NBA,Golden State Warriors,San Francisco/Bay Area,30
2014,NBA,San Antonio Spurs,San Antonio,30
2013,NBA,Miami Heat,Miami,30
2012,NBA,Miami Heat,Miami,30
2011,NBA,Dallas Mavericks,Dallas,30
2010,NBA,Los Angeles Lakers,Los Angeles,30
2009,NBA,Los Angeles Lakers,Los Angeles,30
2008,NBA,Boston Celtics,Boston,30
2007,NBA,San Antonio Spurs,San Antonio,30
2006,NBA,Miami Heat,Miami,30
2005,NBA,San Antonio Spurs,San Antonio,30
2004,NBA,Detroit Pistons,Detroit,30
2003,NBA,San Antonio Spurs,San Antonio,30
2002,NBA,Los Angeles Lakers,Los Angeles,30
2001,NBA,Los Angeles Lakers,Los Angeles,30
2000,NBA,Los Angeles Lakers,Los Angeles,30
1999,NBA,San Antonio Spurs,San Antonio,30
1998,NBA,Chicago Bulls,Chicago,30
1997,NBA,Chicago Bulls,Chicago,30
1996,NBA,Chicago Bulls,Chicago,30
1995,NBA,Houston Rockets,Houston,30
1994,NBA,Houston Rockets,Houston,30
1993,NBA,Chicago Bulls,Chicago,30
1992,NBA,Chicago Bulls,Chicago,30
2021,NFL,,,32
2020,NFL, Tampa Bay Buccaneers ,Tampa/St. Petersburg,32
2019,NFL, Kansas City Chiefs ,Kansas City,32
2018,NFL, New England Patriots ,Boston,32
2017,NFL, Philadelphia Eagles ,Philadelphia,32
2016,NFL, New England Patriots ,Boston,32
2015,NFL, Denver Broncos ,Denver,32
2014,NFL, New England Patriots ,Boston,32
2013,NFL, Seattle Seahawks ,Seattle,32
2012,NFL, Baltimore Ravens ,Baltimore,32
2011,NFL, New York Giants ,New York,32
2010,NFL, Green Bay Packers ,Milwaukee/Green Bay,32
2009,NFL, New Orleans Saints ,New Orleans,32
2008,NFL, Pittsburgh Steelers ,Pittsburgh,32
2007,NFL, New York Giants ,New York,32
2006,NFL, Indianapolis Colts ,Indianapolis,32
2005,NFL, Pittsburgh Steelers ,Pittsburgh,32
2004,NFL, New England Patriots ,Boston,32
2003,NFL, New England Patriots ,Boston,32
2002,NFL,Tampa Bay Buccaneers ,Tampa/St. Petersburg,32
2001,NFL, New England Patriots ,Boston,32
2000,NFL, Baltimore Ravens ,Baltimore,32
1999,NFL, St. Louis Rams ,St. Louis,32
1998,NFL, Denver Broncos ,Denver,32
1997,NFL, Denver Broncos ,Denver,32
1996,NFL, Green Bay Packers ,Milwaukee/Green Bay,32
1995,NFL, Dallas Cowboys ,Dallas,32
1994,NFL, San Francisco 49ers ,San Francisco/Bay Area,32
1993,NFL, Dallas Cowboys ,Dallas,32
1992,NFL, Dallas Cowboys ,Dallas,32
1991,NFL, Washington Redskins ,Washington D.C.,32
2020,MLB,Los Angeles Dodgers,Los Angeles,30
2019,MLB,Washington Nationals,Washington D.C.,30
2018,MLB,Boston Red Sox,Boston,30
2017,MLB,Houston Astros,Houston,30
2016,MLB,Chicago Cubs,Chicago,30
2015,MLB,Kansas City Royals,Kansas City,30
2014,MLB,San Francisco Giants,San Francisco/Bay Area,30
2013,MLB,Boston Red Sox,Boston,30
2012,MLB,San Francisco Giants,San Francisco/Bay Area,30
2011,MLB,St. Louis Cardinals,St. Louis,30
2010,MLB,San Francisco Giants,San Francisco/Bay Area,30
2009,MLB,New York Yankees,New York,30
2008,MLB,Philadelphia Phillies,Philadelphia,30
2007,MLB,Boston Red Sox,Boston,30
2006,MLB,St. Louis Cardinals,St. Louis,30
2005,MLB,Chicago White Sox,Chicago,30
2004,MLB,Boston Red Sox,Boston,30
2003,MLB,Florida Marlins,Miami,30
2002,MLB,Anaheim Angels,Anaheim,30
2001,MLB,Arizona Diamondbacks,Phoenix,30
2000,MLB,New York Yankees,New York,30
1999,MLB,New York Yankees,New York,30
1998,MLB,New York Yankees,New York,30
1997,MLB,Florida Marlins,Miami,30
1996,MLB,New York Yankees,New York,30
1995,MLB,Atlanta Braves,Atlanta,30
1994,MLB,,,30
1993,MLB,Toronto Blue Jays,Toronto,30
1992,MLB,Toronto Blue Jays,Toronto,30
1991,MLB,Minnesota Twins,Minneapolis,30
