Season,Metro,MLB,NFL,NBA,NHL,MLB_teams,NFL_teams,NBA_teams,NHL_teams
2023,Las Vegas,0,1,0,1,30,32,30,32
2023,Boston,1,1,1,1,30,32,30,32
2023,Los Angeles,1,2,2,1,30,32,30,32
2023,Chicago,2,1,1,1,30,32,30,32
2023,New York,2,2,2,2,30,32,30,32
2023,San Francisco/Bay Area,1,1,1,1,30,32,30,32
2023,Pittsburgh,1,1,0,1,30,32,30,32
2023,Miami,1,1,1,1,30,32,30,32
2023,Dallas,1,1,1,1,30,32,30,32
2023,Detroit,1,1,1,1,30,32,30,32
2023,San Antonio,0,0,1,0,30,32,30,32
2023,Denver,1,1,1,1,30,32,30,32
2023,St. Louis,1,0,0,1,30,32,30,32
2023,Tampa/St. Petersburg,1,1,0,1,30,32,30,32
2023,Houston,1,1,1,0,30,32,30,32
2023,Toronto,1,0,1,1,30,32,30,32
2023,Washington D.C.,1,1,1,1,30,32,30,32
2023,New Jersey,0,0,0,1,30,32,30,32
2023,Anaheim,1,0,0,1,30,32,30,32
2023,Kansas City,1,1,0,0,30,32,30,32
2023,Philadelphia,1,1,1,1,30,32,30,32
2023,Baltimore,1,1,1,1,30,32,30,32
2023,Milwaukee/Green Bay,1,1,1,0,30,32,30,32
2023,Atlanta,1,1,1,0,30,32,30,32
2023,Minneapolis,1,1,1,1,30,32,30,32
2023,Phoenix,1,1,1,1,30,32,30,32
2023,Cleveland,1,1,1,0,30,32,30,32
2023,Indianapolis,0,1,1,0,30,32,30,32
2023,New Orleans,0,1,1,0,30,32,30,32
2023,Seattle,1,1,0,1,30,32,30,32
2023,Research Triangle,0,0,0,1,30,32,30,32
2023,Montreal,0,0,0,1,30,32,30,32
2023,San Diego,1,0,0,0,30,32,30,32
2023,Buffalo,0,1,0,1,30,32,30,32
2022,Las Vegas,0,1,0,1,30,32,30,32
2022,Boston,1,1,1,1,30,32,30,32
2022,Los Angeles,1,2,2,1,30,32,30,32
2022,Chicago,2,1,1,1,30,32,30,32
2022,New York,2,2,2,2,30,32,30,32
2022,San Francisco/Bay Area,1,1,1,1,30,32,30,32
2022,Pittsburgh,1,1,0,1,30,32,30,32
2022,Miami,1,1,1,1,30,32,30,32
2022,Dallas,1,1,1,1,30,32,30,32
2022,Detroit,1,1,1,1,30,32,30,32
2022,San Antonio,0,0,1,0,30,32,30,32
2022,Denver,1,1,1,1,30,32,30,32
2022,St. Louis,1,0,0,1,30,32,30,32
2022,Tampa/St. Petersburg,1,1,0,1,30,32,30,32
2022,Houston,1,1,1,0,30,32,30,32
2022,Toronto,1,0,1,1,30,32,30,32
2022,Washington D.C.,1,1,1,1,30,32,30,32
2022,New Jersey,0,0,0,1,30,32,30,32
2022,Anaheim,1,0,0,1,30,32,30,32
2022,Kansas City,1,1,0,0,30,32,30,32
2022,Philadelphia,1,1,1,1,30,32,30,32
2022,Baltimore,1,1,1,1,30,32,30,32
2022,Milwaukee/Green Bay,1,1,1,0,30,32,30,32
2022,Atlanta,1,1,1,0,30,32,30,32
2022,Minneapolis,1,1,1,1,30,32,30,32
2022,Phoenix,1,1,1,1,30,32,30,32
2022,Cleveland,1,1,1,0,30,32,30,32
2022,Indianapolis,0,1,1,0,30,32,30,32
2022,New Orleans,0,1,1,0,30,32,30,32
2022,Seattle,1,1,0,1,30,32,30,32
2022,Research Triangle,0,0,0,1,30,32,30,32
2022,Montreal,0,0,0,1,30,32,30,32
2022,San Diego,1,0,0,0,30,32,30,32
2022,Buffalo,0,1,0,1,30,32,30,32
2021,Las Vegas,0,1,0,1,30,32,30,32
2021,Boston,1,1,1,1,30,32,30,32
2021,Los Angeles,1,2,2,1,30,32,30,32
2021,Chicago,2,1,1,1,30,32,30,32
2021,New York,2,2,2,2,30,32,30,32
2021,San Francisco/Bay Area,1,1,1,1,30,32,30,32
2021,Pittsburgh,1,1,0,1,30,32,30,32
2021,Miami,1,1,1,1,30,32,30,32
2021,Dallas,1,1,1,1,30,32,30,32
2021,Detroit,1,1,1,1,30,32,30,32
2021,San Antonio,0,0,1,0,30,32,30,32
2021,Denver,1,1,1,1,30,32,30,32
2021,St. Louis,1,0,0,1,30,32,30,32
2021,Tampa/St. Petersburg,1,1,0,1,30,32,30,32
2021,Houston,1,1,1,0,30,32,30,32
2021,Toronto,1,0,1,1,30,32,30,32
2021,Washington D.C.,1,1,1,1,30,32,30,32
2021,New Jersey,0,0,0,1,30,32,30,32
2021,Anaheim,1,0,0,1,30,32,30,32
2021,Kansas City,1,1,0,0,30,32,30,32
2021,Philadelphia,1,1,1,1,30,32,30,32
2021,Baltimore,1,1,1,1,30,32,30,32
2021,Milwaukee/Green Bay,1,1,1,0,30,32,30,32
2021,Atlanta,1,1,1,0,30,32,30,32
2021,Minneapolis,1,1,1,1,30,32,30,32
2021,Phoenix,1,1,1,1,30,32,30,32
2021,Cleveland,1,1,1,0,30,32,30,32
2021,Indianapolis,0,1,1,0,30,32,30,32
2021,New Orleans,0,1,1,0,30,32,30,32
2021,Seattle,1,1,0,1,30,32,30,32
2021,Research Triangle,0,0,0,1,30,32,30,32
2021,Montreal,0,0,0,1,30,32,30,32
2021,San Diego,1,0,0,0,30,32,30,32
2021,Buffalo,0,1,0,1,30,32,30,32
2020,Las Vegas,0,1,0,1,30,32,30,32
2020,Boston,1,1,1,1,30,32,30,31
2020,Los Angeles,1,2,2,1,30,32,30,31
2020,Chicago,2,1,1,1,30,32,30,31
2020,New York,2,2,2,2,30,32,30,31
2020,San Francisco/Bay Area,1,1,1,1,30,32,30,31
2020,Pittsburgh,1,1,0,1,30,32,30,31
2020,Miami,1,1,1,1,30,32,30,31
2020,Dallas,1,1,1,1,30,32,30,31
2020,Detroit,1,1,1,1,30,32,30,31
2020,San Antonio,0,0,1,0,30,32,30,31
2020,Denver,1,1,1,1,30,32,30,31
2020,St. Louis,1,0,0,1,30,32,30,31
2020,Tampa/St. Petersburg,1,1,0,1,30,32,30,31
2020,Houston,1,1,1,0,30,32,30,31
2020,Toronto,1,0,1,1,30,32,30,31
2020,Washington D.C.,1,1,1,1,30,32,30,31
2020,New Jersey,0,0,0,1,30,32,30,31
2020,Anaheim,1,0,0,1,30,32,30,31
2020,Kansas City,1,1,0,0,30,32,30,31
2020,Philadelphia,1,1,1,1,30,32,30,31
2020,Baltimore,1,1,0,0,30,32,30,31
2020,Milwaukee/Green Bay,1,1,1,0,30,32,30,31
2020,Atlanta,1,1,1,0,30,32,30,31
2020,Minneapolis,1,1,1,1,30,32,30,31
2020,Phoenix,1,1,1,1,30,32,30,31
2020,Cleveland,1,1,1,0,30,32,30,31
2020,Indianapolis,0,1,1,0,30,32,30,31
2020,New Orleans,0,1,1,0,30,32,30,31
2020,Seattle,1,1,0,0,30,32,30,31
2020,Research Triangle,0,0,0,1,30,32,30,31
2020,Montreal,0,0,0,1,30,32,30,31
2020,San Diego,1,0,0,0,30,32,30,31
2020,Buffalo,0,1,0,1,30,32,30,31
2019,Las Vegas,0,0,0,1,30,32,30,32
2019,Boston,1,1,1,1,30,32,30,31
2019,Los Angeles,1,2,2,1,30,32,30,31
2019,Chicago,2,1,1,1,30,32,30,31
2019,New York,2,2,2,2,30,32,30,31
2019,San Francisco/Bay Area,1,1,1,1,30,32,30,31
2019,Pittsburgh,1,1,0,1,30,32,30,31
2019,Miami,1,1,1,1,30,32,30,31
2019,Dallas,1,1,1,1,30,32,30,31
2019,Detroit,1,1,1,1,30,32,30,31
2019,San Antonio,0,0,1,0,30,32,30,31
2019,Denver,1,1,1,1,30,32,30,31
2019,St. Louis,1,0,0,1,30,32,30,31
2019,Tampa/St. Petersburg,1,1,0,1,30,32,30,31
2019,Houston,1,1,1,0,30,32,30,31
2019,Toronto,1,0,1,1,30,32,30,31
2019,Washington D.C.,1,1,1,1,30,32,30,31
2019,New Jersey,0,0,0,1,30,32,30,31
2019,Anaheim,1,0,0,1,30,32,30,31
2019,Kansas City,1,1,0,0,30,32,30,31
2019,Philadelphia,1,1,1,1,30,32,30,31
2019,Baltimore,1,1,0,0,30,32,30,31
2019,Milwaukee/Green Bay,1,1,1,0,30,32,30,31
2019,Atlanta,1,1,1,0,30,32,30,31
2019,Minneapolis,1,1,1,1,30,32,30,31
2019,Phoenix,1,1,1,1,30,32,30,31
2019,Cleveland,1,1,1,0,30,32,30,31
2019,Indianapolis,0,1,1,0,30,32,30,31
2019,New Orleans,0,1,1,0,30,32,30,31
2019,Seattle,1,1,0,0,30,32,30,31
2019,Research Triangle,0,0,0,1,30,32,30,31
2019,Montreal,0,0,0,1,30,32,30,31
2019,San Diego,1,0,0,0,30,32,30,31
2019,Buffalo,0,1,0,1,30,32,30,31
2018,Las Vegas,0,0,0,1,30,32,30,32
2018,Boston,1,1,1,1,30,32,30,31
2018,Los Angeles,1,2,2,1,30,32,30,31
2018,Chicago,2,1,1,1,30,32,30,31
2018,New York,2,2,2,2,30,32,30,31
2018,San Francisco/Bay Area,1,1,1,1,30,32,30,31
2018,Pittsburgh,1,1,0,1,30,32,30,31
2018,Miami,1,1,1,1,30,32,30,31
2018,Dallas,1,1,1,1,30,32,30,31
2018,Detroit,1,1,1,1,30,32,30,31
2018,San Antonio,0,0,1,0,30,32,30,31
2018,Denver,1,1,1,1,30,32,30,31
2018,St. Louis,1,0,0,1,30,32,30,31
2018,Tampa/St. Petersburg,1,1,0,1,30,32,30,31
2018,Houston,1,1,1,0,30,32,30,31
2018,Toronto,1,0,1,1,30,32,30,31
2018,Washington D.C.,1,1,1,1,30,32,30,31
2018,New Jersey,0,0,0,1,30,32,30,31
2018,Anaheim,1,0,0,1,30,32,30,31
2018,Kansas City,1,1,0,0,30,32,30,31
2018,Philadelphia,1,1,1,1,30,32,30,31
2018,Baltimore,1,1,0,0,30,32,30,31
2018,Milwaukee/Green Bay,1,1,1,0,30,32,30,31
2018,Atlanta,1,1,1,0,30,32,30,31
2018,Minneapolis,1,1,1,1,30,32,30,31
2018,Phoenix,1,1,1,1,30,32,30,31
2018,Cleveland,1,1,1,0,30,32,30,31
2018,Indianapolis,0,1,1,0,30,32,30,31
2018,New Orleans,0,1,1,0,30,32,30,31
2018,Seattle,1,1,0,0,30,32,30,31
2018,Research Triangle,0,0,0,1,30,32,30,31
2018,Montreal,0,0,0,1,30,32,30,31
2018,San Diego,1,0,0,0,30,32,30,31
2018,Buffalo,0,1,0,1,30,32,30,31
2017,Boston,1,1,1,1,30,32,30,30
2017,Los Angeles,1,2,2,1,30,32,30,30
2017,Chicago,2,1,1,1,30,32,30,30
2017,New York,2,2,2,2,30,32,30,30
2017,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2017,Pittsburgh,1,1,0,1,30,32,30,30
2017,Miami,1,1,1,1,30,32,30,30
2017,Dallas,1,1,1,1,30,32,30,30
2017,Detroit,1,1,1,1,30,32,30,30
2017,San Antonio,0,0,1,0,30,32,30,30
2017,Denver,1,1,1,1,30,32,30,30
2017,St. Louis,1,0,0,1,30,32,30,30
2017,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2017,Houston,1,1,1,0,30,32,30,30
2017,Toronto,1,0,1,1,30,32,30,30
2017,Washington D.C.,1,1,1,1,30,32,30,30
2017,New Jersey,0,0,0,1,30,32,30,30
2017,Anaheim,1,0,0,1,30,32,30,30
2017,Kansas City,1,1,0,0,30,32,30,30
2017,Philadelphia,1,1,1,1,30,32,30,30
2017,Baltimore,1,1,0,0,30,32,30,30
2017,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2017,Atlanta,1,1,1,0,30,32,30,30
2017,Minneapolis,1,1,1,1,30,32,30,30
2017,Phoenix,1,1,1,1,30,32,30,30
2017,Cleveland,1,1,1,0,30,32,30,30
2017,Indianapolis,0,1,1,0,30,32,30,30
2017,New Orleans,0,1,1,0,30,32,30,30
2017,Seattle,1,1,0,0,30,32,30,30
2017,Research Triangle,0,0,0,1,30,32,30,30
2017,Montreal,0,0,0,1,30,32,30,30
2017,San Diego,1,0,0,0,30,32,30,30
